activities,famrel,health,goout,failures,age,studytime,absences,G1,G2
1,5,4,2,0,18,3,8,14,13
1,3,4,4,0,16,3,2,10,9
0,3,4,3,0,17,2,2,10,11
0,3,3,2,0,18,1,4,10,10
1,4,5,4,1,17,3,0,6,5
0,4,5,4,2,15,2,6,7,9
0,5,3,3,0,17,2,2,12,11
1,2,5,5,0,17,2,14,12,12
0,2,3,2,0,15,4,0,7,9
1,4,5,4,0,18,3,9,9,10
0,1,1,2,0,16,2,14,12,13
0,4,5,2,0,18,3,0,13,13
0,5,4,3,0,18,1,0,11,10
0,4,5,5,1,18,1,0,6,8
1,4,3,3,0,19,4,10,8,8
1,3,1,3,0,15,4,8,11,11
1,5,5,3,0,15,1,4,10,13
0,4,4,3,0,15,4,10,10,11
1,3,2,3,0,16,3,6,13,14
1,1,3,3,0,15,4,4,13,13
0,4,5,5,1,16,2,4,10,12
0,4,1,4,0,17,2,6,6,5
1,3,5,3,0,16,1,4,8,10
1,4,5,2,0,18,2,11,12,11
0,5,2,4,3,19,2,8,8,7
0,4,3,3,0,18,3,4,11,10
0,2,2,5,0,17,1,3,14,16
1,4,4,4,0,17,2,4,6,5
0,4,3,3,0,17,3,6,13,12
1,4,5,3,0,18,1,5,7,6
0,5,5,3,1,18,2,12,12,12
1,2,4,4,0,16,2,6,10,11
1,3,3,2,0,15,1,2,10,12
1,4,5,4,0,17,1,30,8,8
0,3,5,1,0,16,1,16,12,11
0,4,5,3,1,18,2,8,3,5
0,4,4,4,3,19,1,0,5,0
1,5,4,3,0,15,1,6,18,19
1,5,4,2,0,16,2,4,8,10
1,5,5,5,3,17,2,0,5,8
1,4,5,2,0,15,3,2,10,9
1,3,5,4,0,16,2,2,13,13
0,5,4,2,0,18,3,9,16,15
0,3,3,2,3,15,2,0,6,7
0,4,4,4,0,18,2,14,12,10
0,3,2,2,0,18,2,21,17,18
0,3,4,4,0,16,2,0,12,13
1,4,4,5,0,16,2,4,10,11
1,3,3,2,0,17,3,3,11,11
0,5,4,4,2,20,2,11,9,9
1,4,5,2,0,15,3,2,9,11
1,5,2,3,0,16,3,10,11,9
0,5,5,5,0,18,3,0,10,10
0,3,1,3,0,15,2,2,16,15
0,4,4,3,0,17,3,4,14,14
0,4,2,4,1,17,1,24,18,18
0,4,3,2,0,16,2,0,14,14
0,4,3,2,0,16,1,2,17,15
0,4,3,3,0,17,3,0,15,12
1,5,4,3,0,15,3,2,15,16
0,4,2,3,0,18,3,5,18,18
1,4,5,4,1,16,1,6,12,13
1,1,5,1,1,18,2,0,6,5
1,3,3,3,0,17,2,14,13,13
0,4,5,3,0,16,2,2,15,16
1,3,5,2,1,16,2,6,10,13
1,4,3,3,0,16,1,10,10,8
0,5,4,5,0,16,2,0,6,7
0,4,3,4,0,16,2,0,12,12
1,5,4,4,0,18,2,4,8,9
1,4,2,4,0,18,3,6,15,14
0,3,2,3,0,15,2,0,10,8
0,5,2,3,0,16,2,6,7,10
1,5,1,4,0,15,2,0,16,18
0,4,5,4,0,15,2,10,7,6
1,4,2,5,0,16,2,2,16,16
0,3,5,2,0,16,2,18,9,7
1,5,2,3,0,18,2,9,15,13
0,4,2,2,0,17,2,0,7,8
1,4,5,5,0,17,1,3,14,15
1,3,3,2,2,19,2,4,7,7
0,4,4,3,0,16,3,0,7,7
0,5,3,3,0,16,1,0,13,14
0,3,5,2,0,16,1,0,7,6
0,2,3,1,0,16,2,2,16,16
1,5,1,3,0,16,2,0,11,10
0,4,3,2,0,15,4,12,16,16
0,5,5,4,0,16,2,0,8,7
0,4,5,5,0,16,2,2,8,9
0,5,5,5,3,17,1,0,5,0
0,3,5,2,0,18,2,10,14,12
1,5,1,4,0,16,1,6,11,14
1,5,5,2,0,16,3,0,13,13
0,4,4,3,0,15,2,2,8,9
1,5,5,4,0,16,2,0,13,13
1,2,5,3,0,16,3,7,15,16
0,4,5,2,0,15,2,0,8,11
1,3,5,4,0,16,1,18,14,11
0,4,5,3,0,16,4,4,7,7
1,5,5,5,0,18,2,10,10,9
0,5,3,5,0,17,2,13,12,12
1,4,5,4,1,18,2,15,6,7
1,4,5,5,0,18,4,2,9,8
1,4,3,3,1,19,2,18,12,10
1,5,1,2,0,15,2,0,7,10
0,4,5,2,0,15,2,2,10,11
1,3,3,3,0,17,3,10,12,10
1,5,1,3,0,15,3,4,13,14
0,3,3,4,0,18,2,4,10,10
1,4,5,5,0,17,2,2,6,6
1,4,4,4,0,18,4,0,10,9
1,4,5,2,0,17,2,0,14,15
0,3,5,5,1,18,1,4,6,9
0,4,2,5,0,18,2,10,10,8
1,4,4,4,0,17,2,12,12,12
1,3,3,4,0,16,1,8,9,9
1,2,4,4,1,18,2,15,9,8
0,4,5,3,1,17,3,28,10,9
1,3,3,4,0,18,1,22,9,9
0,4,5,2,2,15,3,0,12,0
1,4,5,2,0,15,3,2,12,12
1,5,4,2,0,15,3,4,10,12
1,4,3,3,0,18,3,0,9,10
1,4,5,3,0,16,2,0,15,15
0,4,3,2,0,17,2,12,11,9
0,3,3,2,0,15,1,10,18,19
1,3,3,3,0,16,2,10,9,8
1,3,4,3,0,17,3,4,10,9
0,5,1,1,1,17,1,0,7,6
1,5,5,4,1,17,2,20,9,7
1,2,1,4,0,17,2,0,16,15
1,4,2,5,0,17,2,4,13,11
1,4,1,4,0,17,2,17,10,10
0,5,3,3,2,20,3,4,15,14
0,1,5,3,0,17,2,2,12,12
1,4,2,2,1,16,1,16,12,11
0,5,5,4,0,18,2,0,10,9
1,4,5,2,2,16,1,0,4,0
1,4,1,4,0,15,2,2,11,8
1,4,4,3,0,16,2,6,8,10
0,4,3,2,0,16,2,0,9,9
1,5,5,2,1,19,3,0,7,5
0,4,3,2,3,15,2,10,7,8
0,2,4,3,3,16,2,5,7,7
1,4,2,3,0,15,2,2,11,13
1,4,3,3,0,18,1,3,14,12
1,4,1,2,0,17,2,4,11,11
0,4,5,2,0,15,1,2,12,12
1,5,5,4,0,15,4,6,16,14
0,4,5,1,0,17,1,0,11,11
1,5,3,4,0,17,2,10,16,15
1,4,4,2,0,17,2,4,14,13
0,3,2,1,0,19,2,20,14,12
1,4,3,4,1,19,3,4,11,12
1,3,4,3,2,18,1,0,7,4
1,4,5,3,0,15,2,6,9,9
0,4,5,4,0,18,2,2,11,11
1,4,5,5,0,16,2,16,10,12
1,4,4,2,0,15,2,2,9,10
0,4,4,5,0,17,1,8,11,10
1,1,1,5,0,15,4,6,10,13
0,4,2,3,0,17,2,4,9,10
0,4,5,2,0,16,1,0,13,15
0,5,5,3,0,15,2,0,9,0
1,3,3,3,0,16,1,2,11,12
0,4,4,3,0,17,2,2,12,10
1,4,5,3,1,16,2,14,10,10
0,4,3,2,0,18,2,0,11,11
1,5,1,3,0,16,2,2,16,15
0,4,5,3,0,17,1,4,14,12
0,4,2,4,0,16,2,4,8,7
0,4,3,4,0,18,3,0,7,0
0,3,3,3,0,17,2,6,8,7
0,4,5,2,0,16,4,0,13,15
1,3,5,2,2,17,1,0,7,6
1,4,5,3,0,15,1,2,14,14
1,3,5,1,0,15,1,0,8,7
1,5,5,3,0,16,2,4,11,11
1,4,3,2,0,16,2,2,13,15
0,3,1,4,0,16,1,2,14,14
0,4,3,2,2,19,3,14,15,13
1,4,5,3,0,18,2,11,16,15
0,3,4,3,0,18,2,0,12,13
1,3,4,3,0,16,1,2,11,15
0,4,5,3,0,15,2,2,11,13
1,5,3,5,0,16,1,0,6,0
0,3,3,2,0,17,4,6,18,18
0,1,1,2,0,18,1,5,16,15
1,5,2,3,0,17,2,4,10,10
0,5,5,3,0,15,1,8,12,12
1,4,3,3,1,18,2,8,14,12
0,4,5,2,0,16,1,6,9,9
1,4,4,3,0,17,4,6,14,12
1,5,4,4,0,17,3,7,10,9
0,4,5,2,0,16,2,4,6,10
1,5,4,4,0,18,2,8,15,14
0,4,5,1,0,18,1,0,11,12
1,4,4,3,0,16,3,0,16,17
1,4,3,2,0,18,2,14,10,8
0,5,1,3,0,18,4,7,16,15
0,4,1,4,0,17,2,2,14,15
1,4,5,4,0,17,2,0,13,11
0,5,3,5,0,16,3,0,7,9
0,3,4,4,1,18,2,13,6,6
1,5,5,5,0,16,1,6,10,8
1,4,2,2,0,16,4,4,19,19
1,4,5,2,0,15,2,0,17,16
0,4,3,5,0,18,2,0,6,0
0,4,1,4,0,17,2,4,9,9
0,4,3,4,0,17,2,2,13,13
0,2,1,4,0,15,1,4,15,16
1,4,5,3,1,19,2,0,15,12
1,4,2,5,0,17,2,14,11,9
1,5,3,2,0,18,3,1,13,12
0,4,3,2,0,17,3,0,15,15
0,5,2,3,0,17,1,2,10,10
0,5,5,3,1,19,3,12,14,13
1,4,5,2,0,15,1,0,16,16
1,4,1,3,0,16,2,4,8,10
0,5,5,5,0,17,2,0,10,0
1,3,4,5,0,16,1,8,18,18
0,4,1,2,0,15,2,0,16,18
1,4,2,4,0,15,2,0,10,10
1,5,5,2,0,17,4,0,17,17
0,4,3,2,0,15,3,0,14,16
1,5,4,5,3,18,1,6,9,8
1,3,3,3,1,16,2,25,7,10
1,4,5,3,1,18,2,2,13,12
0,5,1,3,0,18,3,7,13,13
0,3,3,3,0,17,1,3,7,7
1,5,3,2,0,18,4,1,12,12
1,4,2,3,1,18,2,0,10,10
1,2,3,1,0,17,2,2,13,11
1,4,4,2,0,17,3,6,7,7
0,5,3,1,0,17,1,12,8,10
0,4,3,3,0,18,4,0,14,13
0,5,4,2,0,18,3,0,18,16
1,3,3,2,0,16,1,0,8,9
0,5,4,3,0,18,3,2,10,9
0,4,5,4,0,18,2,0,13,13
1,5,5,3,0,20,1,0,17,18
1,4,2,5,0,18,4,4,15,14
0,5,3,2,0,17,1,18,7,6
1,4,5,4,1,16,1,0,7,0
0,5,1,1,0,15,1,0,8,8
1,4,4,3,0,17,3,4,9,10
1,4,5,4,0,17,2,12,7,8
0,4,1,2,1,19,2,22,13,10
0,4,3,2,0,18,2,2,8,8
0,5,3,2,0,15,4,8,7,8
0,3,5,4,0,15,1,0,8,10
0,5,3,3,0,17,2,4,5,5
1,4,3,4,1,15,2,2,7,7
0,5,5,2,0,15,3,4,11,10
1,1,1,2,0,16,2,10,11,12
0,5,5,3,0,16,1,0,12,14
1,4,1,5,0,18,2,13,17,17
0,3,2,3,0,16,2,4,7,6
0,5,5,5,1,15,1,6,11,11
1,5,5,4,0,17,2,2,9,9
1,5,5,2,0,16,1,0,13,12
0,5,3,3,0,15,2,2,10,10
0,5,5,2,0,17,2,23,13,13
0,4,5,3,0,16,2,18,8,6
0,4,5,4,0,17,2,6,12,12
0,4,3,3,0,16,2,0,14,15
1,4,2,3,0,18,2,0,8,8
0,4,1,4,0,18,2,0,7,9
1,4,5,3,0,15,3,0,11,0
1,4,3,4,1,19,2,0,9,9
0,4,1,3,0,18,2,0,15,15
0,3,2,3,0,17,3,0,16,15
0,4,4,3,0,16,1,6,18,18
0,5,1,4,0,15,1,6,10,13
0,4,4,3,0,16,2,2,12,13
1,4,4,4,0,17,2,4,10,9
1,5,3,3,0,17,2,0,8,8
0,5,3,3,3,21,1,3,10,8
0,3,3,3,0,17,2,4,8,9
1,3,2,5,2,16,1,0,6,5
1,4,5,2,0,15,2,2,9,10
0,4,5,3,0,15,2,2,15,15
0,2,5,5,1,18,1,10,11,13
0,4,5,2,0,16,1,20,13,12
0,4,5,2,0,17,1,0,8,12
0,5,5,2,0,15,1,0,12,15
1,4,5,4,0,17,3,0,11,11
0,4,3,4,2,15,2,6,5,9
1,4,1,3,0,18,1,8,10,11
1,4,5,2,0,16,1,8,8,9
1,2,2,4,0,19,2,0,10,9
1,4,4,3,0,17,3,0,13,15
1,3,2,1,0,17,4,0,10,9
0,4,4,2,1,19,2,3,13,11
0,2,4,5,3,18,1,0,6,5
1,4,4,3,0,15,1,0,8,0
1,4,3,1,2,15,3,8,10,10
0,3,3,2,0,17,2,0,12,11
1,4,4,5,0,16,1,14,7,7
1,5,2,3,0,18,2,4,8,9
1,4,3,2,1,16,2,12,11,10
0,4,5,5,0,17,3,16,16,15
0,3,1,5,2,17,2,22,6,6
1,4,5,2,0,16,2,2,13,13
0,3,5,3,0,19,1,5,8,9
0,4,1,1,0,15,2,0,13,14
0,4,2,3,0,16,2,10,11,12
0,3,3,3,0,15,4,0,10,10
1,5,5,3,0,16,3,2,16,18
0,4,3,3,0,18,2,2,11,11
0,4,5,4,1,19,1,4,8,8
0,4,2,5,0,15,2,26,7,6
