school,sex,age,address,famsize,Pstatus,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,health,absences,G1,G2,G3,parent_is_teacher,alc_consumption
GP,F,18,U,GT3,A,4,4,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,4,3,6,5,6,6,1,1.0
GP,F,17,U,GT3,T,1,1,father,1,2,0,0,1,0,0,0,1,1,0,5,3,3,3,4,5,5,6,0,1.0
GP,F,15,U,LE3,T,1,1,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,2,3,10,7,8,10,0,2.2857142857142856
GP,F,15,U,GT3,T,4,2,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,5,2,15,14,15,0,1.0
GP,F,16,U,GT3,T,3,3,father,1,2,0,0,1,1,0,1,1,0,0,4,3,2,5,4,6,10,10,0,1.2857142857142858
GP,M,16,U,LE3,T,4,3,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,5,10,15,15,15,0,1.2857142857142858
GP,M,16,U,LE3,T,2,2,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,3,0,12,12,11,0,1.0
GP,F,17,U,GT3,A,4,4,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,6,6,5,6,1,1.0
GP,M,15,U,LE3,A,3,2,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,0,16,18,19,0,1.0
GP,M,15,U,GT3,T,3,4,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,5,0,14,15,15,0,1.0
GP,F,15,U,GT3,T,4,4,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,2,0,10,8,9,1,1.2857142857142858
GP,F,15,U,GT3,T,2,1,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,4,4,10,12,12,0,1.0
GP,M,15,U,LE3,T,4,4,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,5,2,14,14,14,0,1.5714285714285714
GP,M,15,U,GT3,T,4,3,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,3,2,10,10,11,1,1.2857142857142858
GP,M,15,U,GT3,A,2,2,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,3,0,14,16,16,0,1.0
GP,F,16,U,GT3,T,4,4,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,2,4,14,14,14,0,1.2857142857142858
GP,F,16,U,GT3,T,4,4,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,2,6,13,14,14,0,1.2857142857142858
GP,F,16,U,GT3,T,3,3,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,4,4,8,10,10,0,1.0
GP,M,17,U,GT3,T,3,2,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,5,16,6,5,5,0,2.5714285714285716
GP,M,16,U,LE3,T,4,3,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,5,4,8,10,10,0,1.5714285714285714
